date,price,open,high,low,change_percent
11/06/2020,3509.4,3508.3,3521.6,3484.3,-0.03%
11/05/2020,3510.4,3485.7,3529.1,3485.7,1.95%
11/04/2020,3443.4,3406.5,3486.2,3405.2,2.20%
11/03/2020,3369.2,3336.2,3389.5,3336.2,1.78%
11/02/2020,3310.2,3296.2,3330.1,3279.7,1.23%
10/30/2020,3270,3293.6,3304.9,3233.9,-1.21%
10/29/2020,3310.1,3277.2,3341.1,3259.8,1.20%
10/28/2020,3271,3342.5,3342.5,3268.9,-3.53%
10/27/2020,3390.7,3403.2,3409.5,3388.7,-0.30%
10/26/2020,3401,3441.4,3441.4,3364.9,-1.86%
10/23/2020,3465.4,3464.9,3466.5,3440.4,0.34%
10/22/2020,3453.5,3438.5,3460.5,3415.3,0.52%
10/21/2020,3435.6,3439.9,3464.9,3433.1,-0.22%
10/20/2020,3443.1,3439.4,3476.9,3435.7,0.47%
10/19/2020,3426.9,3493.7,3502.4,3419.9,-1.63%
10/16/2020,3483.8,3493.5,3515.8,3480.4,0.01%
10/15/2020,3483.3,3453.7,3489.1,3440.9,-0.15%
10/14/2020,3488.7,3515.5,3527.9,3480.6,-0.66%
10/13/2020,3511.9,3534,3534,3500.9,-0.63%
10/12/2020,3534.2,3500,3549.8,3499.6,1.64%
10/09/2020,3477.1,3459.7,3482.3,3458.1,0.88%
10/08/2020,3446.8,3434.3,3447.3,3428.2,0.80%
10/07/2020,3419.4,3384.6,3426.3,3384.6,1.74%
10/06/2020,3360.9,3408.7,3431.6,3354.5,-1.40%
10/05/2020,3408.6,3367.3,3409.6,3367.3,1.80%
10/02/2020,3348.4,3338.9,3369.1,3323.7,-0.96%
10/01/2020,3380.8,3385.9,3397.2,3361.4,0.53%
09/30/2020,3363,3341.2,3393.6,3340.5,0.82%
09/29/2020,3335.5,3350.9,3357.9,3327.5,-0.48%
09/28/2020,3351.6,3333.9,3360.7,3332.9,1.61%
09/25/2020,3298.5,3236.7,3306.9,3228.4,1.60%
09/24/2020,3246.6,3226.1,3278.7,3209.4,0.30%
09/23/2020,3236.9,3320.1,3323.3,3232.6,-2.37%
09/22/2020,3315.6,3295.8,3320.3,3270.9,1.05%
09/21/2020,3281.1,3285.6,3285.6,3229.1,-1.16%
09/18/2020,3319.5,3357.4,3362.3,3292.4,-1.12%
09/17/2020,3357,3346.9,3375.2,3328.8,-0.84%
09/16/2020,3385.5,3411.2,3428.9,3384.4,-0.46%
09/15/2020,3401.2,3407.7,3419.5,3389.2,0.52%
09/14/2020,3383.5,3363.6,3402.9,3363.6,1.27%
09/11/2020,3341,3352.7,3368.9,3310.5,0.05%
09/10/2020,3339.2,3412.6,3425.6,3329.2,-1.76%
09/09/2020,3399,3369.8,3424.8,3366.8,2.02%
09/08/2020,3331.8,3371.9,3380,3329.3,-2.78%
09/04/2020,3427,3453.6,3479.2,3349.6,-0.81%
09/03/2020,3455.1,3564.7,3564.8,3427.4,-3.51%
09/02/2020,3580.8,3543.8,3588.1,3535.2,1.53%
09/01/2020,3526.7,3507.4,3528,3494.6,0.75%
08/31/2020,3500.3,3509.7,3514.8,3493.2,-0.22%
08/28/2020,3508,3494.7,3509.2,3484.3,0.67%
08/27/2020,3484.6,3485.1,3501.4,3468.3,0.17%
08/26/2020,3478.7,3450,3481.1,3444.2,1.02%
08/25/2020,3443.6,3435.9,3444.2,3425.8,0.36%
08/24/2020,3431.3,3418.1,3432.1,3413.1,1.00%
08/21/2020,3397.2,3386,3400,3379.3,0.35%
08/20/2020,3385.5,3360.5,3390.8,3354.7,0.32%
08/19/2020,3374.8,3392.5,3399.5,3369.7,-0.44%
08/18/2020,3389.8,3387,3395.1,3370.2,0.23%
08/17/2020,3382,3380.9,3387.6,3379.2,0.27%
08/14/2020,3372.8,3368.7,3378.5,3361.6,-0.02%
08/13/2020,3373.4,3372.9,3387.2,3363.3,-0.20%
08/12/2020,3380.3,3355.5,3387.9,3355.5,1.40%
08/11/2020,3333.7,3370.3,3381,3326.4,-0.80%
08/10/2020,3360.5,3356,3363.3,3335.4,0.27%
08/07/2020,3351.3,3340.1,3352.5,3328.7,0.06%
08/06/2020,3349.2,3323.2,3351,3318.1,0.64%
08/05/2020,3327.8,3317.4,3330.8,3317.4,0.64%
08/04/2020,3306.5,3289.9,3306.8,3286.4,0.36%
08/03/2020,3294.6,3288.3,3302.7,3284.5,0.72%
07/31/2020,3271.1,3270.4,3272.2,3220.3,0.77%
07/30/2020,3246.2,3231.8,3250.9,3204.1,-0.37%
07/29/2020,3258.4,3227.2,3264.7,3227.2,1.24%
07/28/2020,3218.4,3234.3,3243.7,3216.2,-0.65%
07/27/2020,3239.4,3219.8,3241.4,3214.2,0.74%
07/24/2020,3215.6,3218.6,3227.3,3200.1,-0.62%
07/23/2020,3235.7,3271.6,3280,3222.7,-1.23%
07/22/2020,3276,3254.9,3279.3,3253.1,0.57%
07/21/2020,3257.3,3268.5,3277.3,3247.8,0.17%
07/20/2020,3251.8,3224.3,3258.6,3215.2,0.84%
07/17/2020,3224.7,3224.2,3233.5,3205.7,0.28%
07/16/2020,3215.6,3208.4,3220.4,3198.6,-0.34%
07/15/2020,3226.6,3226,3238.3,3200.8,0.91%
07/14/2020,3197.5,3141.1,3200.9,3127.7,1.34%
07/13/2020,3155.2,3205.1,3235.3,3149.4,-0.94%
07/10/2020,3185,3152.5,3186.8,3136.2,1.04%
07/09/2020,3152.1,3176.2,3179.8,3115.7,-0.56%
07/08/2020,3169.9,3153.1,3171.8,3136.5,0.78%
07/07/2020,3145.3,3166.4,3184.2,3142.9,-1.08%
07/06/2020,3179.7,3155.3,3182.6,3155.3,1.59%
07/02/2020,3130,3143.6,3165.8,3124.5,0.45%
07/01/2020,3115.9,3105.9,3128.4,3101.2,0.50%
06/30/2020,3100.3,3050.2,3111.5,3047.8,1.54%
06/29/2020,3053.2,3018.6,3053.9,2999.7,1.47%
06/26/2020,3009.1,3073.2,3073.7,3004.6,-2.42%
06/25/2020,3083.8,3046.6,3086.2,3024,1.10%
06/24/2020,3050.3,3114.4,3115,3032.1,-2.59%
06/23/2020,3131.3,3138.7,3154.9,3127.1,0.43%
06/22/2020,3117.9,3094.4,3120.9,3079.4,0.65%
06/19/2020,3097.7,3140.3,3155.5,3083.1,-0.56%
06/18/2020,3115.3,3101.6,3120,3093.5,0.06%
06/17/2020,3113.5,3136.1,3141.2,3108,-0.36%
06/16/2020,3124.7,3131,3153.4,3076.1,1.89%
06/15/2020,3066.6,2993.8,3079.8,2965.7,0.83%
06/12/2020,3041.3,3071,3088.4,2984.5,1.31%
06/11/2020,3002.1,3123.5,3123.5,2999.5,-5.89%
06/10/2020,3190.1,3213.4,3223.3,3181.5,-0.53%
06/09/2020,3207.2,3213.3,3222.7,3193.1,-0.78%
06/08/2020,3232.4,3199.9,3233.1,3196,1.21%
06/05/2020,3193.9,3163.8,3211.7,3163.8,2.62%
06/04/2020,3112.3,3111.6,3128.9,3090.4,-0.34%
06/03/2020,3122.9,3098.9,3130.9,3098.9,1.37%
06/02/2020,3080.8,3064.8,3081.1,3051.6,0.82%
06/01/2020,3055.7,3038.8,3062.2,3031.5,0.37%
05/29/2020,3044.3,3025.2,3049.2,2998.6,0.48%
05/28/2020,3029.7,3046.6,3068.7,3023.4,-0.21%
05/27/2020,3036.1,3015.7,3036.2,2969.8,1.48%
05/26/2020,2991.8,3004.1,3021.7,2988.2,1.23%
05/22/2020,2955.4,2948.1,2956.8,2933.6,0.23%
05/21/2020,2948.5,2969.9,2978.5,2938.6,-0.78%
05/20/2020,2971.6,2953.6,2980.3,2953.6,1.67%
05/19/2020,2922.9,2948.6,2964.2,2922.3,-1.05%
05/18/2020,2953.9,2913.9,2968.1,2913.9,3.15%
05/15/2020,2863.7,2829.9,2865,2816.8,0.39%
05/14/2020,2852.5,2794.5,2852.8,2766.6,1.15%
05/13/2020,2820,2865.9,2874.1,2793.2,-1.75%
05/12/2020,2870.1,2939.5,2945.8,2869.6,-2.05%
05/11/2020,2930.3,2915.5,2944.2,2903.4,0.02%
05/08/2020,2929.8,2908.8,2932.2,2902.9,1.69%
05/07/2020,2881.2,2878.3,2901.9,2876.5,1.15%
05/06/2020,2848.4,2883.1,2891.1,2847.7,-0.70%
05/05/2020,2868.4,2868.9,2898.2,2863.6,0.90%
05/04/2020,2842.7,2815,2844.2,2797.8,0.42%
05/01/2020,2830.7,2869.1,2869.1,2821.6,-2.81%
04/30/2020,2912.4,2930.9,2930.9,2892.5,-0.92%
04/29/2020,2939.5,2918.5,2954.9,2912.2,2.66%
04/28/2020,2863.4,2910,2921.2,2860.7,-0.52%
04/27/2020,2878.5,2854.7,2887.7,2852.9,1.47%
